City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1,Castro,BR,73.56,clear sky,-24.7911,-50.0119,CHACARA BAILLY
12,Palmer,US,78.15,few clouds,42.1584,-72.3287,Wedgewood Motel
13,Saint-Philippe,RE,71.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
14,Rikitea,PF,76.08,broken clouds,-23.1203,-134.9692,People ThankYou
17,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Daund,IN,79.74,clear sky,18.4667,74.6,Kende Wada
25,Caravelas,BR,78.46,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
26,Hithadhoo,MV,83.44,overcast clouds,-0.6,73.0833,Scoop Guest House
30,Pisco,PE,66.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
31,Dhidhdhoo,MV,82.6,overcast clouds,6.8833,73.1,Dhidhoo beach
33,Saint George,US,80.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
36,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Havelock,US,82.98,clear sky,34.8791,-76.9013,Sherwood Motel
47,Luganville,VU,77.31,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
49,Atuona,PF,78.17,few clouds,-9.8,-139.0333,Villa Enata
51,Kalmunai,LK,80.8,overcast clouds,7.4167,81.8167,VS Villa
52,Butaritari,KI,81.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
54,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Brumadinho,BR,80.02,clear sky,-20.1433,-44.1997,Ville de Montagne Hotel
59,Mulanur,IN,79.57,scattered clouds,10.7667,77.7167,ARUVI RESIDENCY (AC)
60,Buala,SB,79.43,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
61,Tura,IN,73.02,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
65,Umm Lajj,SA,83.88,clear sky,25.0213,37.2685,Moon light Furnished Units
