City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Khatanga,RU,5/28/2022 23:44,71.9667,102.5,34.21,83,94,14.09
1,Baykit,RU,5/28/2022 23:44,61.67,96.37,53.19,47,99,2.06
2,Fougamou,GA,5/28/2022 23:44,-1.2154,10.5838,71.22,98,22,2.04
3,Palmer,US,5/28/2022 23:44,42.1584,-72.3287,67.24,86,100,3.49
4,Olafsvik,IS,5/28/2022 23:44,64.8945,-23.7142,49.84,72,97,8.7
5,Tuktoyaktuk,CA,5/28/2022 23:44,69.4541,-133.0374,32,86,75,11.5
6,Norman Wells,CA,5/28/2022 23:44,65.282,-126.8329,57.24,30,75,16.11
7,Ponta Do Sol,PT,5/28/2022 23:44,32.6667,-17.1,66.83,79,57,4.05
8,Rikitea,PF,5/28/2022 23:44,-23.1203,-134.9692,76.08,71,0,7.05
9,Broome,US,5/28/2022 23:44,42.2506,-75.833,65.7,72,40,10.36
10,Juneau,US,5/28/2022 23:44,58.3019,-134.4197,69.8,100,40,10.36
11,Kavieng,PG,5/28/2022 23:44,-2.5744,150.7967,83.16,68,93,5.48
12,Port Alfred,ZA,5/28/2022 23:40,-33.5906,26.891,56.17,92,4,12.01
13,Port Blair,IN,5/28/2022 23:43,11.6667,92.75,82.44,89,75,9.22
14,Vaini,TO,5/28/2022 23:44,-21.2,-175.2,80.76,89,75,8.05
15,Korla,CN,5/28/2022 23:44,41.7597,86.1469,76.33,27,0,9.98
16,Klaksvik,FO,5/28/2022 23:44,62.2266,-6.589,47.32,77,24,24.81
17,Jamestown,US,5/28/2022 23:42,42.097,-79.2353,64.04,63,40,10.36
18,Baker City,US,5/28/2022 23:44,44.7749,-117.8344,59.59,50,40,3.44
19,Umm Lajj,SA,5/28/2022 23:44,25.0213,37.2685,82.36,47,0,10.31
20,Lavrentiya,RU,5/28/2022 23:44,65.5833,-171,35.55,94,99,3.94
21,Busselton,AU,5/28/2022 23:44,-33.65,115.3333,58.19,56,98,16.67
22,Hilo,US,5/28/2022 23:40,19.7297,-155.09,86.29,80,75,12.66
23,Ushuaia,AR,5/28/2022 23:41,-54.8,-68.3,37.06,75,75,23.02
24,New Norfolk,AU,5/28/2022 23:44,-42.7826,147.0587,45.91,85,90,0.87
25,Seoul,KR,5/28/2022 23:44,37.5683,126.9778,69.37,73,75,6.91
26,Punta Arenas,CL,5/28/2022 23:40,-53.15,-70.9167,37.51,75,40,8.05
27,Hithadhoo,MV,5/28/2022 23:44,-0.6,73.0833,83.95,68,83,11.39
28,Belyy Yar,RU,5/28/2022 23:44,53.6039,91.3903,49.89,62,0,6.71
29,Khvoynaya,RU,5/28/2022 23:44,58.9,34.5333,40.55,97,23,5.19
30,Porosozero,RU,5/28/2022 23:44,62.7191,32.727,48.02,95,99,2.95
31,Albany,US,5/28/2022 23:40,42.6001,-73.9662,68.41,61,57,9.64
32,Atuona,PF,5/28/2022 23:44,-9.8,-139.0333,77.85,79,27,16.35
33,Mataura,NZ,5/28/2022 23:44,-46.1927,168.8643,51.48,71,100,2.82
34,Karratha,AU,5/28/2022 23:44,-20.7377,116.8463,69.04,95,100,18.59
35,Baranchinskiy,RU,5/28/2022 23:44,58.1617,59.6991,49.91,96,86,7.36
36,Fortuna,US,5/28/2022 23:44,40.5982,-124.1573,54.93,92,100,10.36
37,Butaritari,KI,5/28/2022 23:44,3.0707,172.7902,81.64,72,100,16.35
38,Te Anau,NZ,5/28/2022 23:44,-45.4167,167.7167,50.76,76,100,1.12
39,Salalah,OM,5/28/2022 23:44,17.0151,54.0924,82.49,78,75,2.3
40,Bredasdorp,ZA,5/28/2022 23:43,-34.5322,20.0403,57.34,71,6,12.46
41,Nadym,RU,5/28/2022 23:44,65.5333,72.5167,51.39,59,3,20.6
42,Daru,PG,5/28/2022 23:45,-9.0763,143.2092,80.53,72,98,9.4
43,Upernavik,GL,5/28/2022 23:45,72.7868,-56.1549,27.93,84,82,8.9
44,Barrow,US,5/28/2022 23:45,71.2906,-156.7887,33.82,86,100,5.75
45,Namibe,AO,5/28/2022 23:45,-15.1961,12.1522,63.46,87,49,7
46,Constitucion,CL,5/28/2022 23:46,-35.3333,-72.4167,44.62,68,23,7.76
47,Kapaa,US,5/28/2022 23:46,22.0752,-159.319,79.12,79,20,13.8
48,Mackay,AU,5/28/2022 23:46,-21.15,149.2,74.68,53,0,5.28
49,Samarai,PG,5/28/2022 23:46,-10.6167,150.6667,80.58,64,31,10.71
50,Teknaf,BD,5/28/2022 23:46,20.8624,92.3058,79.88,89,45,4.5
51,Fairbanks,US,5/28/2022 23:43,64.8378,-147.7164,76.01,27,0,13.8
52,Cidreira,BR,5/28/2022 23:46,-30.1811,-50.2056,64.89,96,99,14.32
53,Katwijk,NL,5/28/2022 23:46,52.1942,4.4222,51.94,81,7,12.8
54,Cape Town,ZA,5/28/2022 23:42,-33.9258,18.4232,59.88,92,75,17.27
55,Mahebourg,MU,5/28/2022 23:46,-20.4081,57.7,69.26,70,40,18.79
56,Tasiilaq,GL,5/28/2022 23:46,65.6145,-37.6368,41.16,96,100,27.45
57,Bluff,NZ,5/28/2022 23:46,-46.6,168.3333,51.8,74,99,6.58
58,Mar Del Plata,AR,5/28/2022 23:46,-38.0023,-57.5575,50.09,73,75,8.05
59,Chiredzi,ZW,5/28/2022 23:46,-21.05,31.6667,59.86,90,6,2.77
60,Nicoya,CR,5/28/2022 23:46,10.1483,-85.452,78.73,85,83,1.45
61,Necochea,AR,5/28/2022 23:46,-38.5473,-58.7368,43.9,52,14,7.36
62,Okha,RU,5/28/2022 23:46,53.5739,142.9478,37.09,96,100,9.28
63,Hobart,AU,5/28/2022 23:45,-42.8794,147.3294,46.26,96,75,11.5
64,Anchorage,US,5/28/2022 23:42,61.2181,-149.9003,74.86,26,0,4
65,Hofn,IS,5/28/2022 23:46,64.2539,-15.2082,47.55,81,2,9.64
66,Tunoshna,RU,5/28/2022 23:46,57.5459,40.1254,48.18,87,75,8.95
67,Lazaro Cardenas,MX,5/28/2022 23:46,17.9583,-102.2,83.46,63,100,11.1
68,Kahului,US,5/28/2022 23:46,20.8947,-156.47,87.82,62,75,19.57
69,Paraiso,CR,5/28/2022 23:46,9.8383,-83.8656,69.89,100,93,1.88
70,Bogale,MM,5/28/2022 23:46,16.2833,95.4,79.79,88,75,4.9
71,Nanortalik,GL,5/28/2022 23:46,60.1432,-45.2371,39.83,85,98,7.43
72,Kavaratti,IN,5/28/2022 23:46,10.5669,72.642,81.46,78,90,11.23
73,Isangel,VU,5/28/2022 23:46,-19.55,169.2667,80.98,71,1,4.21
74,Lebu,CL,5/28/2022 23:46,-37.6167,-73.65,45.81,69,3,14.16
75,Hamilton,US,5/28/2022 23:45,39.1834,-84.5333,73.72,73,20,4.61
76,Thompson,CA,5/28/2022 23:41,55.7435,-97.8558,59.16,44,75,5.75
77,North Bend,US,5/28/2022 23:45,43.4065,-124.2243,53.51,91,100,20.71
78,Ribeira Grande,PT,5/28/2022 23:46,38.5167,-28.7,59.4,63,40,9.22
79,Dingle,PH,5/28/2022 23:46,10.9995,122.6711,80.38,81,99,1.03
80,La Palma,US,5/28/2022 23:46,33.8464,-118.0467,73.24,63,100,11.5
81,Padang,ID,5/28/2022 23:46,-0.9492,100.3543,73.45,79,99,3.89
82,Vardo,NO,5/28/2022 23:46,70.3705,31.1107,40.98,93,75,4.61
